zip4,province,city
6162,四川省 ,甘孜藏族自治州
6164,四川省 ,凉山彝族自治州
6166,四川省 ,凉山彝族自治州
6168,四川省 ,凉山彝族自治州
6170,四川省 ,攀枝花
6172,四川省 ,攀枝花
6180,四川省 ,德阳
6182,四川省 ,德阳
6184,四川省 ,德阳
6200,四川省 ,眉山
6203,四川省 ,眉山
6205,四川省 ,眉山
6210,四川省 ,绵阳
6211,四川省 ,绵阳
6217,四川省 ,绵阳
6225,四川省 ,绵阳
6230,四川省 ,阿坝藏族羌族
6232,四川省 ,阿坝藏族羌族
6234,四川省 ,阿坝藏族羌族
6240,四川省 ,阿坝藏族羌族
6242,四川省 ,阿坝藏族羌族
6244,四川省 ,阿坝藏族羌族
6246,四川省 ,阿坝藏族羌族
6247,青海省,果洛藏族自治州
6250,四川省 ,雅安
6252,四川省 ,雅安
6254,四川省 ,雅安
6256,四川省 ,雅安
6260,四川省 ,甘孜藏族自治州
6263,四川省 ,甘孜藏族自治州
6265,四川省 ,甘孜藏族自治州
6267,四川省 ,甘孜藏族自治州
6271,四川省 ,甘孜藏族自治州
6273,四川省 ,甘孜藏族自治州
6276,四川省 ,甘孜藏族自治州
6278,四川省 ,甘孜藏族自治州
6280,四川省 ,广元
6282,四川省 ,广元
6284,四川省 ,广元
6290,四川省 ,遂宁
6291,四川省 ,遂宁
6293,四川省 ,遂宁
6327,四川省 ,达州
6350,四川省 ,达州
6351,四川省 ,达州
6356,四川省 ,巴中
6361,四川省 ,达州
6363,四川省 ,达州
6366,四川省 ,巴中
6370,四川省 ,南充
6372,四川省 ,南充
6374,四川省 ,南充
6376,四川省 ,南充
6378,四川省 ,南充
6384,四川省 ,广安
6385,四川省 ,广安
6386,四川省 ,广安
6410,四川省 ,内江
6412,四川省 ,内江
6413,四川省 ,资阳
6415,四川省 ,资阳
6424,四川省 ,内江
6430,四川省 ,自贡
6431,四川省 ,自贡
6440,四川省 ,宜宾
6441,四川省 ,宜宾
6443,四川省 ,宜宾
6445,四川省 ,宜宾
6446,四川省 ,宜宾
6452,四川省 ,宜宾
6460,四川省 ,泸州
6461,四川省 ,泸州
6463,四川省 ,泸州
6465,四川省 ,泸州
6486,四川省 ,巴中
6488,四川省 ,巴中
6500,云南省 ,昆明
6501,云南省 ,昆明
6503,云南省 ,昆明
6505,云南省 ,昆明
6511,云南省 ,玉溪
6512,云南省 ,楚雄彝族自治州
6514,云南省 ,楚雄彝族自治州
6515,云南省 ,昆明
6521,云南省 ,昆明
